epoch,train_loss,train_err,test_err
0,1.5161011219024658,0.6134,0.6042
1,1.164466142654419,0.48388,0.4891
2,1.166686773300171,0.35506,0.3588
3,0.6306225657463074,0.28088,0.2837
4,0.6629520654678345,0.24758,0.2447
5,0.33333268761634827,0.22768,0.2322
6,0.6536960005760193,0.20618,0.2178
7,0.4620973467826843,0.18946,0.2064
8,0.44326716661453247,0.18038,0.1969
9,0.6501467823982239,0.1812,0.2013
10,0.3009033203125,0.1595,0.1778
11,0.6142087578773499,0.149,0.1682
12,0.43001407384872437,0.17072,0.1922
13,0.4298396110534668,0.15322,0.1796
14,0.2731076180934906,0.194,0.218
15,0.38205835223197937,0.13554,0.1608
16,0.39776211977005005,0.12388,0.1553
17,0.30465540289878845,0.12986,0.1632
18,0.37781769037246704,0.14332,0.1686
19,0.3371533751487732,0.13838,0.1665
20,0.2901875972747803,0.13592,0.1696
21,0.41633111238479614,0.11806,0.1484
22,0.3168143332004547,0.10452,0.1388
23,0.21913652122020721,0.11524,0.1573
24,0.4717990756034851,0.13984,0.1807
25,0.2424037903547287,0.13772,0.1741
26,0.245281383395195,0.14336,0.1801
27,0.4226211905479431,0.09998,0.1377
28,0.445126473903656,0.0972,0.1312
29,0.206660196185112,0.095,0.1345
30,0.30677640438079834,0.14988,0.1987
31,0.3627033829689026,0.10726,0.1414
32,0.33624643087387085,0.11018,0.1529
33,0.3055673837661743,0.14242,0.1905
34,0.15594324469566345,0.11022,0.1579
35,0.3422303795814514,0.11848,0.1609
36,0.22445397078990936,0.09338,0.1345
37,0.2754060924053192,0.09402,0.1349
38,0.15933647751808167,0.10568,0.1472
39,0.36579611897468567,0.11864,0.1541
40,0.29784461855888367,0.10676,0.1563
41,0.20398256182670593,0.08482,0.1295
42,0.15648797154426575,0.09736,0.1423
43,0.22010497748851776,0.1436,0.1922
44,0.2011508047580719,0.09096,0.137
45,0.3503777086734772,0.12398,0.1722
46,0.24136963486671448,0.08512,0.131
47,0.22791509330272675,0.10106,0.1573
48,0.17630283534526825,0.09392,0.1415
49,0.23034432530403137,0.08876,0.1368
50,0.21084555983543396,0.08748,0.1371
51,0.27716201543807983,0.10458,0.1536
52,0.28267771005630493,0.1214,0.1696
53,0.2251780778169632,0.08342,0.1317
54,0.218774676322937,0.08612,0.1316
