epoch,train_loss,train_err,test_err
0,1.7278785705566406,0.73102,0.7095
1,1.2808915376663208,0.53986,0.5317
2,0.9855828285217285,0.456,0.4685
3,0.8280822038650513,0.33304,0.3421
4,0.7361894845962524,0.29576,0.2888
5,0.8114274740219116,0.24506,0.2547
6,0.8540452122688293,0.26342,0.2759
7,0.5787667632102966,0.19574,0.2033
8,0.5975348353385925,0.23986,0.2548
9,0.6979344487190247,0.16964,0.1878
10,0.5818524956703186,0.20884,0.2216
11,0.49287185072898865,0.17116,0.1914
12,0.3985198736190796,0.2215,0.2488
13,0.38550084829330444,0.16034,0.1831
14,0.54586261510849,0.13826,0.1678
15,0.37098175287246704,0.14488,0.1685
16,0.4221399426460266,0.14336,0.1741
17,0.34461745619773865,0.15598,0.1807
18,0.4695722162723541,0.15138,0.1817
19,0.3710799217224121,0.1807,0.1998
20,0.16333799064159393,0.12404,0.1546
21,0.3130989968776703,0.17646,0.2067
22,0.3173378109931946,0.14892,0.1847
23,0.36650052666664124,0.17232,0.2014
24,0.26647740602493286,0.12342,0.1656
25,0.2886437177658081,0.15508,0.1951
26,0.40840214490890503,0.14726,0.1855
27,0.24543774127960205,0.10718,0.141
28,0.2676689624786377,0.13298,0.1674
29,0.4472322463989258,0.12172,0.1558
30,0.2888287901878357,0.11812,0.1577
31,0.266658216714859,0.09016,0.1301
32,0.26028355956077576,0.11,0.151
33,0.18893080949783325,0.09874,0.1352
34,0.3400575816631317,0.1052,0.14
35,0.23967811465263367,0.09354,0.1329
36,0.22122950851917267,0.11782,0.1538
37,0.16707900166511536,0.0895,0.1318
38,0.19592662155628204,0.09766,0.1422
39,0.23410558700561523,0.14222,0.1878
40,0.2990188002586365,0.11046,0.1634
41,0.1758720576763153,0.0881,0.131
42,0.29438653588294983,0.1067,0.1461
43,0.17949062585830688,0.10272,0.1425
44,0.21741123497486115,0.12998,0.1744
45,0.23008036613464355,0.12042,0.1557
46,0.25454410910606384,0.15372,0.196
47,0.20485183596611023,0.10124,0.1443
48,0.3136533498764038,0.10136,0.1477
49,0.3533543348312378,0.09068,0.1339
50,0.12726417183876038,0.08946,0.144
51,0.21451692283153534,0.09346,0.1405
52,0.1110575795173645,0.0966,0.1379
53,0.15812411904335022,0.0798,0.1205
54,0.34428754448890686,0.07168,0.1189
55,0.08121432363986969,0.06952,0.1174
56,0.2564801871776581,0.13484,0.1754
57,0.21657708287239075,0.10598,0.1511
58,0.07128937542438507,0.07948,0.118
59,0.31923454999923706,0.11254,0.1576
60,0.31242769956588745,0.1112,0.157
61,0.19291068613529205,0.0877,0.1281
62,0.22116343677043915,0.08252,0.1295
63,0.2162601500749588,0.10154,0.1483
64,0.21718820929527283,0.08936,0.1385
65,0.2851375639438629,0.07616,0.1224
66,0.18482521176338196,0.11342,0.1587
67,0.24717018008232117,0.0899,0.1393
68,0.2759486734867096,0.12884,0.1759
69,0.14077578485012054,0.08386,0.132
70,0.25871002674102783,0.09794,0.1458
71,0.1583833545446396,0.09354,0.143
72,0.09637543559074402,0.0591,0.1147
73,0.08671516925096512,0.0753,0.1238
74,0.1055566817522049,0.05794,0.1084
75,0.16527405381202698,0.09618,0.1489
76,0.24473460018634796,0.06726,0.1158
77,0.2988565266132355,0.06282,0.1145
78,0.47797051072120667,0.09,0.1326
79,0.3572627007961273,0.07356,0.1201
80,0.22081975638866425,0.0768,0.1248
81,0.3020978569984436,0.07968,0.1277
82,0.11300750821828842,0.02126,0.0781
83,0.04507734626531601,0.01648,0.0751
84,0.05558288097381592,0.01348,0.0734
85,0.03587914630770683,0.01258,0.0725
86,0.041574351489543915,0.01026,0.0716
87,0.1291806399822235,0.00942,0.0734
88,0.06730516254901886,0.00804,0.0737
89,0.022167425602674484,0.0079,0.0705
90,0.04885820671916008,0.00738,0.0716
91,0.045217983424663544,0.00634,0.0735
92,0.04117774963378906,0.0061,0.0726
93,0.008747218176722527,0.00556,0.0722
94,0.03428642824292183,0.00544,0.0748
95,0.04763144999742508,0.00482,0.0725
96,0.01819223165512085,0.0048,0.0727
97,0.01508526224642992,0.0038,0.0725
98,0.12230616807937622,0.00374,0.0712
99,0.0029831421561539173,0.00356,0.0737
100,0.00402360875159502,0.00316,0.0722
101,0.016974009573459625,0.00288,0.0721
102,0.03522466495633125,0.00304,0.0732
103,0.018725702539086342,0.00254,0.0727
104,0.0027468393091112375,0.0029,0.072
105,0.013624000363051891,0.0027,0.0711
106,0.004525188356637955,0.00254,0.0712
107,0.016458652913570404,0.00216,0.0707
108,0.05833815410733223,0.00236,0.0732
109,0.0026577995158731937,0.00192,0.074
110,0.0056071956641972065,0.0018,0.0722
111,0.0015678300987929106,0.0023,0.0714
112,0.03697075694799423,0.00208,0.0704
113,0.0009135971777141094,0.0019,0.0725
114,0.006424459163099527,0.0015,0.0717
115,0.012084541842341423,0.00184,0.0722
116,0.0017753879074007273,0.00194,0.0724
117,0.01867825910449028,0.0018,0.07
118,0.011808929033577442,0.00138,0.0703
119,0.0026709616649895906,0.00194,0.0753
120,0.06988172233104706,0.00134,0.0719
121,0.006468003150075674,0.0018,0.0735
122,0.001692452235147357,0.00172,0.0721
123,0.021596593782305717,0.00086,0.0708
124,0.002066286513581872,0.00102,0.0705
125,0.003292413894087076,0.00088,0.0701
126,0.0024689477868378162,0.00092,0.0695
127,0.0012251170119270682,0.00086,0.0696
128,0.006119053345173597,0.00072,0.0697
129,0.0021750128362327814,0.00062,0.0694
130,0.0030530334915965796,0.00054,0.0694
131,0.0023444262333214283,0.00062,0.0696
132,0.014165419153869152,0.00042,0.0684
133,0.024879243224859238,0.00062,0.0698
134,0.005003496538847685,0.00048,0.069
135,0.008065158501267433,0.00054,0.069
136,0.0010393166448920965,0.00066,0.0689
137,0.0003714226477313787,0.0005,0.0687
138,0.0015436502872034907,0.00056,0.0675
139,0.0020860994700342417,0.00042,0.0681
140,0.0006118692690506577,0.00062,0.0668
141,0.033435363322496414,0.00056,0.0688
142,0.005427532829344273,0.00046,0.0667
143,0.007163169328123331,0.00042,0.0684
144,0.0034569997806102037,0.0005,0.0686
145,0.0077450089156627655,0.00046,0.0675
146,0.00915475282818079,0.00042,0.0677
147,0.011720431968569756,0.00028,0.0683
148,0.025547107681632042,0.00036,0.0679
149,0.005576516501605511,0.0004,0.0672
150,0.025645876303315163,0.00046,0.0681
151,0.001798573648557067,0.00028,0.0688
152,0.00041487524867989123,0.00038,0.0678
153,0.0015598461031913757,0.0004,0.0683
154,0.0017572781071066856,0.00022,0.0681
