epoch,train_loss,train_err,test_err
53,0.28226467967033386,0.11608,0.1707
54,0.3744596838951111,0.09534,0.1448
55,0.15372022986412048,0.12998,0.1846
56,0.33494117856025696,0.1138,0.1672
57,0.1378466784954071,0.0827,0.1328
58,0.294824481010437,0.08186,0.1324
59,0.14755134284496307,0.12438,0.1698
60,0.18743768334388733,0.0842,0.1362
61,0.20509186387062073,0.09558,0.1537
62,0.16659881174564362,0.09344,0.1508
63,0.15984617173671722,0.1292,0.1863
64,0.12059438228607178,0.08058,0.1297
65,0.2108522653579712,0.09798,0.1569
66,0.20568740367889404,0.08018,0.1358
67,0.2187233418226242,0.09022,0.148
68,0.18919938802719116,0.09238,0.1485
69,0.3803143799304962,0.1256,0.1849
70,0.23837777972221375,0.08554,0.1447
71,0.16296057403087616,0.1144,0.1672
72,0.24382798373699188,0.10914,0.1625
73,0.17479614913463593,0.09476,0.1565
74,0.20506343245506287,0.1207,0.1839
75,0.20839348435401917,0.09148,0.1459
76,0.17616184055805206,0.07732,0.1397
77,0.2280292809009552,0.10012,0.1598
78,0.23328006267547607,0.09346,0.1532
79,0.3344358801841736,0.0812,0.1385
80,0.1993635594844818,0.07482,0.1261
81,0.16424258053302765,0.08648,0.1405
82,0.05766001343727112,0.02136,0.0927
83,0.05380524322390556,0.01618,0.0895
84,0.05276580527424812,0.01392,0.0871
85,0.04410141706466675,0.01192,0.0882
86,0.06125307083129883,0.011,0.087
87,0.06735176593065262,0.00904,0.0891
88,0.05488390848040581,0.00882,0.0862
89,0.028829306364059448,0.00772,0.0879
90,0.035894691944122314,0.00616,0.0859
91,0.028429478406906128,0.0066,0.0874
92,0.02203245833516121,0.0053,0.0876
93,0.027561893686652184,0.00546,0.0852
94,0.007713737897574902,0.0055,0.0839
95,0.011527192778885365,0.00482,0.0867
96,0.014934574253857136,0.00402,0.0866
97,0.037774708122015,0.00354,0.0861
98,0.04022862762212753,0.00376,0.0867
99,0.007593716029077768,0.00342,0.0852
100,0.03538517281413078,0.00316,0.0866
101,0.01356456894427538,0.00318,0.0871
102,0.0316738560795784,0.00288,0.0867
103,0.022776033729314804,0.00264,0.0859
104,0.005416334606707096,0.00214,0.0867
105,0.008877437561750412,0.0025,0.0843
106,0.021430034190416336,0.00242,0.0842
107,0.010959837585687637,0.00234,0.0854
108,0.019367923960089684,0.00188,0.0854
109,0.006196919828653336,0.00224,0.0861
110,0.013834593817591667,0.00192,0.085
111,0.009615978226065636,0.00188,0.0853
112,0.011990812607109547,0.00184,0.0861
113,0.011475435458123684,0.00184,0.0856
114,0.03389493003487587,0.00172,0.0843
115,0.0037494595162570477,0.0012,0.0869
116,0.0038615434896200895,0.00126,0.085
117,0.027778971940279007,0.00192,0.0862
118,0.008744458667933941,0.00118,0.0837
119,0.021194320172071457,0.00116,0.0834
120,0.015555642545223236,0.00128,0.0875
121,0.009419428184628487,0.00126,0.0842
122,0.016572119668126106,0.00132,0.084
123,0.0014791488647460938,0.00088,0.0843
124,0.0030868113972246647,0.00106,0.0844
125,0.00036222123890183866,0.00106,0.0856
126,0.005331611260771751,0.00088,0.0841
127,0.004549956880509853,0.00074,0.0837
128,0.003526996821165085,0.00058,0.0853
129,0.008589151315391064,0.00062,0.0845
130,0.016173752024769783,0.00066,0.0849
131,0.0008149789646267891,0.00072,0.0832
132,0.015191699378192425,0.00064,0.0838
133,0.002393170027062297,0.00056,0.0833
134,0.0014682098990306258,0.00046,0.0847
135,0.001919355010613799,0.00052,0.0831
136,0.021834811195731163,0.0005,0.0836
137,0.013110296800732613,0.0005,0.0841
138,0.0012533648405224085,0.0004,0.0831
139,0.003666464239358902,0.00044,0.0824
140,0.0035023377276957035,0.00046,0.0827
141,0.021673858165740967,0.00046,0.0828
142,0.0029537237714976072,0.00036,0.0843
143,0.003103953320533037,0.00048,0.0834
144,0.01165785826742649,0.00028,0.0837
145,0.012927928939461708,0.00036,0.0837
146,0.0014453157782554626,0.0004,0.0833
147,0.001475957571528852,0.00044,0.0833
148,0.007934559136629105,0.00058,0.0829
149,0.00806510541588068,0.00032,0.0829
150,0.0010951593285426497,0.0004,0.0834
151,0.004810478072613478,0.0003,0.0825
152,0.018289275467395782,0.0003,0.0825
153,0.00975419394671917,0.0003,0.083
154,0.0018075022380799055,0.00052,0.0826
155,0.0020128923933953047,0.00026,0.0839
156,0.004986555781215429,0.0004,0.0841
157,0.0008378337952308357,0.00036,0.0826
158,0.0013460241025313735,0.00036,0.0822
159,0.0058494689874351025,0.0003,0.0825
160,0.002793271094560623,0.00028,0.0829
161,0.0006950359675101936,0.00018,0.0823
162,0.0003881786251440644,0.00048,0.0843
163,0.002375517040491104,0.00042,0.0816
